"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","IMAGEN"
"7790070036223","Milanesas de Soja Lucchetti 290 Gr","LUCCHETTI","290.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/277570/Milanesas-De-Soja-Lucchetti-4u-1-41740.jpg?v=638158198221670000"
"7790360967794","Milanesa de Soja Jamon y Queso Swift 4 Un","SWIFT","4.0 un","3","https://jumboargentina.vteximg.com.br/arquivos/ids/498204/Milanesas-De-Soja-Swift-Jamon-Y-Queso-X-350-Gr-1-464700.jpg?v=636785526205970000"
"7790360967824","Milanesa de Soja Prefrita Swift 4 Un","SWIFT","4.0 un","3","https://jumboargentina.vteximg.com.br/arquivos/ids/522370/Milanesas-De-Soja-Swift-Clasica-X-290-Grs-1-464699.jpg?v=636864884642270000"
"7790070036032","Milanesas de Soja Rellenas de Espinaca y Queso Granja Del Sol 380 Gr","GRANJA DEL SOL","380.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/277394/Milanesas-De-Soja-Granja-Del-Sol-Rellenas-De-Espinaca-Y-Queso-4u-1-41708.jpg?v=638158090029500000"
"7790070036179","Milanesa Soja Grande Sabor Fugazzeta Lucchetti 4 Un","LUCCHETTI","4.0 un","3","https://www.lacoopeencasa.coop/media/lcec/publico/articulos/0/b/7/0b7c5412e450b24f9dd4793d54976361"
"7790670052371","Medallones de Carne Congelados Express Paty 4 Un","PATY","4.0 un","3","https://masonlineprod.vteximg.com.br/arquivos/ids/313008/Medallones-De-Carne-Vacuna-Paty-Express-276-G-4u-1-53400.jpg?v=638410377803930000"
"7790360966841","Medallones de Carne Clasicos Supercongelados Swift 4 Un 276 Gr","SWIFT","276.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/273541/front-view-9722.jpg?v=638120938179000000"
"7790360026590","Hamburguesas de Carne Clasicas Swift 12 Un 960 Gr","SWIFT","960.0 gr","3","https://jumboargentina.vteximg.com.br/arquivos/ids/769174/Hamburguesa-Swift-De-Carne-12-U-960-Gr-1-8746.jpg?v=638119749819800000"
"7790360026606","Hamburguesas de Carne Clasicas Swift 2 Un","SWIFT","2.0 un","3","https://masonlineprod.vteximg.com.br/arquivos/ids/349738/Hamburguesas-Swift-Cl-sicas-160-G-2-U-0779036002660-1.jpg?v=638779877638630000"
"7790670050667","Hamburguesas de Carne Clasicas sin TACC Paty 12 Un 960 Gr","PATY","960.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/341161/Hamburguesas-Paty-960-G-12u-0779067005066-1.jpg?v=638690070325300000"
"7790670050674","Hamburguesas de Carne Clasicas Paty 2 Un 160 Gr","PATY","110.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/175264/Hamburguesas-Clasicas-Paty-2-U-1-34921.jpg?v=637835151278230000"
"7790360966797","Medallones de Carne Supercongelados Swift 2 Un","SWIFT","2.0 un","3","https://masonlineprod.vteximg.com.br/arquivos/ids/273543/front-view-27205.jpg?v=638120938185570000"
"7790670050612","Hamburguesas de Carne Grandes Paty 2 Un","PATY","2.0 un","3","https://masonlineprod.vteximg.com.br/arquivos/ids/175278/Hamburguesas-Grandes-Paty-2-U-1-34917.jpg?v=637835151301700000"
"7790670050728","Hamburguesas de Carne Finitas Paty 2 Un 110 Gr","PATY","110.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/349761/Hamburguesas-Paty-Finas-2-U-110-G-0779067005072-1.jpg?v=638779884788930000"
"7790360967701","Hamburguesa Tipo Casera Swift 240 Gr","SWIFT","240.0 gr","3","https://masonlineprod.vteximg.com.br/arquivos/ids/273578/0779036096770-01-9725.jpg?v=638120938314170000"
"7790670050780","Hamburguesas de Carne Vacuna sin TACC Paty 20 Un 1.6 Kg","PATY","1.6 kg","3","https://masonlineprod.vteximg.com.br/arquivos/ids/175253/Hamburguesas-Clasicas-Paty-20-U-1-34924.jpg?v=637835151252670000"
"7790670052289","Hamburguesas de Carne Light Caja Paty 4 Un","PATY","4.0 un","3","https://masonlineprod.vteximg.com.br/arquivos/ids/287354/Hamburguesa-Paty-320g-4u-1-44007.jpg?v=638913024508230000"
