id,nombre,parent_id
01,Alimentos congelados,
02,Almacén,
03,Bebés,
04,Bebidas con alcohol,
05,Bebidas sin alcohol,
06,Frescos,
07,Limpieza,
08,Mascotas,
09,Perfumería y cuidado personal,
50,Electrodomésticos y equipamiento para el hogar,
70,Materiales para la construcción,
0101,Alimentos de Soja,01
010101,Alimentos de Soja,0101
0102,Empanadas y Tartas,01
010201,Empanadas y Tartas,0102
0103,Hamburguesas,01
010301,Hamburguesas,0103
0104,Helados,01
010401,Helados,0104
0105,Pescados y Mariscos,01
010501,Pescados y Mariscos,0105
0106,Pizzas,01
010601,Pizzas,0106
0107,Rebosados,01
010701,De Pollo / Pescado,0107
0108,Vegetales,01
010801,Vegetales,0108
0109,Otros Alimentos Congelados,01
010901,Otros Alimentos Congelados,0109
0201,Aceites,02
020101,Aerosol,0201
020102,Girasol,0201
020103,Maíz,0201
020104,Mezcla,0201
020105,Oliva,0201
020106,Otros Aceites,0201
0202,Aceitunas y Encurtidos,02
020201,Aceitunas Negras,0202
020202,Aceitunas Rellenas,0202
020203,Aceitunas Verdes,0202
020204,Encurtidos,0202
0203,Aderezos y Especias,02
020301,Aceto,0203
020302,Especias,0203
020303,Mayonesa,0203
020304,Mostaza,0203
020305,Saborizadores,0203
020306,Sal y Pimienta,0203
020307,Salsa Golf / Ketchup,0203
020308,Salsas,0203
020309,Vinagre,0203
020310,Jugo de Limón y Otros Aderezos,0203
0204,Arroces, Legumbres y Semillas,02
020401,Arroz Blanco,0204
020402,Arroz Integral,0204
020403,Arroz Preparado,0204
020404,Legumbres,0204
020405,Maíz Pisingallo,0204
020406,Semillas,0204
020407,Otros Arroces, Legumbres y Semillas,0204
0205,Conservas,02
020501,Anchoas,0205
020502,Atún,0205
020503,Caballa,0205
020504,Frutas en conserva,0205
020505,Legumbres en conserva,0205
020506,Paté / Picadillo,0205
020507,Sardinas,0205
020508,Tomates / Salsas,0205
020509,Verduras en conserva,0205
020510,Otras Conservas,0205
0206,Desayuno y Merienda,02
020601,Azúcar,0206
020602,Cacao en Polvo / Chocolate para Taza,0206
020603,Café en Cápsulas,0206
020604,Café Instantáneo,0206
020605,Café Molido,0206
020606,Cereales / Avena,0206
020607,Dulce de Leche,0206
020608,Edulcorante,0206
020609,Filtros de Café,0206
020610,Galletitas de Arroz,0206
020611,Galletitas Dulces,0206
020612,Galletitas Saladas,0206
020613,Leche en Polvo,0206
020614,Mate Cocido,0206
020615,Mermeladas y Jaleas,0206
020616,Miel,0206
020617,Té,0206
020618,Yerba,0206
0207,Frutas Secas,02
020701,Frutas Secas y Disecadas,0207
0208,Golosinas y Chocolates,02
020801,Alfajores,0208
020802,Barras de Cereal,0208
020803,Bocaditos y Bombones,0208
020804,Caramelos, Chupetines y Chicles,0208
020805,Chocolates y Tabletas,0208
020806,Turrones y Confituras,0208
020807,Otras Golosinas,0208
0209,Harinas y Pastas,02
020901,Almidón de Maíz,0209
020902,Fideos Guiseros y de Sopa,0209
020903,Fideos Largos,0209
020904,Harina de Maíz,0209
020905,Harina de Trigo,0209
020906,Pastas Rellenas,0209
020907,Sémola,0209
020908,Otras Pastas / Harinas,0209
0210,Panificados,02
021001,Budines / Bizcochuelos / Piononos,0210
021002,Hamburguesas y Panchos,0210
021003,Pan de Molde,0210
021004,Pan Francés,0210
021005,Pan Rallado y Rebozadores,0210
021006,Tostadas,0210
021007,Otros Productos Panificados,0210
0211,Para Preparar,02
021101,Bizcochuelos, Brownies y Tortas,0211
021102,Gelatinas,0211
021103,Mousse y Helados,0211
021104,Postres y Flanes,0211
021105,Premezclas,0211
021106,Repostería,0211
0212,Snacks,02
021201,Chizitos,0212
021202,Maní,0212
021203,Palitos,0212
021204,Papas fritas,0212
021205,Otros Snacks,0212
0213,Sopas, Caldos y Puré,02
021301,Puré Instantáneo,0213
021302,Sopas, Caldos y Saborizadores,0213
0214,Suplemento Nutricional,02
021401,Suplemento Nutricional,0214
0301,Alimentación infantil,03
030101,Leche Infantil,0301
030102,Otros Productos para Bebé,0301
0302,Higiene y Accesorios,03
030201,Aceites / Cremas / Jabones,0302
030202,Chupetes y Mamaderas,0302
030203,Pañales,0302
030204,Talco / Oleo Calcáreo,0302
030205,Toallitas Húmedas,0302
0401,Aperitivos,04
040101,Americano,0401
040102,Fernet,0401
040103,Otros Aperitivos,0401
0402,Bebidas Blancas, Licores y Whisky,04
040201,Bebidas Blancas,0402
040202,Licores,0402
040203,Whisky,0402
0403,Cervezas,04
040301,En Botella,0403
040302,En Lata,0403
0404,Espumantes,04
040401,Champagne,0404
040402,Frizantes,0404
0405,Vinos,04
040501,Vinos Blancos,0405
040502,Vinos Rosados,0405
040503,Vinos Tintos,0405
0406,Sidras y Otros,04
040601,Sidras,0406
040602,Otras Bebidas con Alcohol,0406
0501,A Base de Hierbas,05
050101,Amargos,0501
0502,Aguas,05
050201,Gasificadas,0502
050202,Sin Gas,0502
0503,Aguas Saborizadas,05
050301,Gasificadas,0503
050302,Sin Gas,0503
0504,Cervezas y Sidras sin Alcohol,05
050401,Cervezas y Sidras sin Alcohol,0504
0505,Gaseosas,05
050501,Cola,0505
050502,Lima Limón,0505
050503,Naranja,0505
050504,Pomelo,0505
050505,Tónica,0505
050506,Otras Gaseosas,0505
