ean,codigo_interno_coope
7790360967824,707432
7790070036223,713412
7790360967794,707594
8480017254542,No encontrado
7790070035967,No encontrado
7790070036438,No encontrado
7790070035981,No encontrado
7790070035974,No encontrado
7790070035998,No encontrado
7790070036056,No encontrado
7790070036049,No encontrado
8480017254528,No encontrado
7790070036032,713426
7792052179966,No encontrado
7790670052371,714711
7790070036179,714935
7790360966841,928496
7790360026590,706050
7790360026606,252663
7793281493472,No encontrado
7790360967800,No encontrado
7790174000601,No encontrado
7790070036186,No encontrado
7790670050667,250099
7790670050674,250093
7790360967701,706994
7790670050650,No encontrado
7790670050612,250095
7790670050728,250092
7790360026576,No encontrado
7790360966797,700870
7793281493489,No encontrado
7798342151254,No encontrado
7790670051831,No encontrado
7790670050780,253706
7790670052289,713339
7790360026682,713099
7793281493410,No encontrado
7790670050605,250098
7790670052265,712776
7790360026583,No encontrado
7793281493496,No encontrado
7790360967411,No encontrado
7790070036230,No encontrado
7790360966193,No encontrado
7790670050957,No encontrado
7790670052524,No encontrado
7793281493519,No encontrado
7793281493526,No encontrado
7793281493564,No encontrado
7793281493571,No encontrado
7798342150646,No encontrado
7798342150622,No encontrado
8480017002105,No encontrado
7790360967404,706462
8480017099143,No encontrado
8480017130327,No encontrado
8480017241375,No encontrado
7790360967763,707429
8480017241382,No encontrado
8480017605139,No encontrado
7790360008541,No encontrado
7793281493557,No encontrado
7790360965912,No encontrado
7798342150639,No encontrado
7796804050145,No encontrado
7790670051312,710321
7793281493700,No encontrado
7790670051329,710319
7796804050121,No encontrado
7790670051336,710320
7798016101660,No encontrado
7790360968548,No encontrado
7798270244387,No encontrado
7790670050766,No encontrado
7798270244394,No encontrado
7790070036261,710724
7798270244400,No encontrado
7790079021251,No encontrado
7790079020803,No encontrado
7798270244417,No encontrado
7790079020704,No encontrado
7790079020711,No encontrado
7790079019616,No encontrado
7793281493502,No encontrado
7798270244431,No encontrado
7798270244448,No encontrado
7790070036247,No encontrado
7798304841445,No encontrado
7798304841254,No encontrado
7790580121907,No encontrado
7790580118143,No encontrado
7790580112400,No encontrado
7798304841551,No encontrado
7613034793614,No encontrado
7798304840868,No encontrado
