codigo_interno,nombre_producto,precio_producto
188322,galletitas dulces cooperativa chips de chocolate 300grs,"3.319,00"
253486,azúcar ledesma clásica común tipo a 1kgs,"1.445,00"
708192,hummus de garbanzo vegano felices las vacas 220grs,"2.290,00"
188320,galletitas dulces cooperativa marmoladas 300grs,"3.319,00"
714799,puré de papas maggi original 125grs,"2.920,00"
312608,alimento en polvo a base de azúcar y cacao nesquik original 360grs,"6.150,00"
266423,cebada instantánea primer precio doypack 100grs,"2.590,00"
883530,puré de tomate primer precio 520grs,"750,00"
273997,producto a base de miel y glucosa lago epecuén osito 340grs,"3.690,00"
283203,lentejas primer precio secas 400grs,"1.490,00"
188319,galletitas dulces cooperativa sabor vainilla 300grs,"3.319,00"
298901,alimento infantil nestum multicereal sin azúcar agregada 125grs,"2.490,00"
855995,miel cooperativa frasco 500grs,"6.990,00"
145564,aceite de girasol cooperativa 1500cm3,"4.650,00"
241171,cebada el pocillo fortificada doypack 100grs,"3.562,00"
298899,alimento infantil nestum banana sin azúcar agregada 225grs,"6.190,00"
311091,azúcar primer precio común tipo a 1kgs,"1.279,00"
279502,miel primer precio pote 250grs,"2.690,00"
311152,alimento vitina espinaca 250grs,"2.350,00"
311151,alimento vitina clásica 250grs,"1.980,00"
714525,hummus de garbanzos kamar receta clásica 230grs,"4.890,00"
214460,paté de foie la negra 90grs,"935,00"
190373,nueces nogal dorado peladas 100grs,"5.199,00"
281758,arroz primer precio largo fino 00000 1kgs,"1.099,00"
296059,arroz gallo oro parboil 500grs,"1.120,00"
709159,magdalenas marmoladas don satur  200grs,"3.199,00"
129756,azúcar domino común tipo a 1kgs,"1.369,00"
311087,caldo de verdura knorr deshidratado 12 cubos 114grs,"2.849,00"
154964,cereales primer precio granola 350grs,"3.189,00"
957470,sal fina primer precio paquete 500grs,"1.219,00"
957453,sal gruesa primer precio  1kgs,"1.490,00"
309318,arroz gallo oro parboil selección 1kgs,"3.189,00"
318549, 90grs,"799,00"
279824,lentejas la abadía 400grs,"1.890,00"
208830,huevo de chocolate kinder celeste 20grs,"2.750,00"
317379,harina de trigo leudante cooperativa 1kgs,"1.099,00"
708170,untable a base de almendras felices las vacas sabor dulce de leche 250grs,"2.469,00"
881279,atún primer precio al natural 170grs,"1.350,00"
311475,puré de tomate arcor 520grs,"1.179,00"
317377,harina de trigo cooperativa 000 1kgs,"699,00"
714527,hummus de garbanzos kamar sésamo y pimentón 230grs,"4.790,00"
709157,magdalenas vainilla con dulce de leche don satur  220grs,"3.199,00"
312905,galletitas crackers traviata con un toque de kesitas sabor queso 96grs,"989,00"
716913,pan de hamburguesa schar sin gluten 130grs,"5.390,00"
315245,sémola de trigo candeal pureza 500grs,"1.790,00"
316965,cebada instantánea el pocillo intensa doypack 115grs,"3.820,00"
714529,hummus de garbanzos kamar olivas negras 230grs,"4.790,00"
129015,atún cooperativa trozos en aceite y agua 160grs,"2.890,00"
316789,atún cooperativa lomitos al natural 160grs,"3.250,00"
279503,miel primer precio pote 500grs,"5.890,00"
106020,almendras nogal dorado  100grs,"5.149,00"
881260,atún primer precio en aceite y agua 170grs,"1.350,00"
280504,aceitunas verdes cooperativa descarozadas 150grs,"2.550,00"
281595,dulce de leche primer precio clásico 400grs,"1.799,00"
283905,arroz dos hermanos no se pasa 1kgs,"1.999,00"
214461,picadillo de carne la negra 90grs,"935,00"
317765,barra proteica ena sabor chocolate brownie 46grs,"2.200,00"
275362,bicarbonato de sodio cooperativa 50grs,"640,00"
312607,alimento en polvo a base de azúcar y cacao nesquik original 150grs,"2.690,00"
312255,lentejones primer precio 400grs,"2.249,00"
447592,ciruelas desecadas rodriguez acacio sin carozo 250grs,"4.059,00"
265436,cebada primer precio instantánea fortificada pote 170grs,"4.575,00"
266265,cebada el pocillo fortificada 500grs,"14.877,00"
280499,aceitunas verdes cooperativa con carozo 180grs,"1.989,00"
322441,combo alimento infantil nestum multicereal + nestum trigo y miel 450grs,"13.990,00"
176477,paté de foie changuito 90grs,"890,00"
714528,hummus de garbanzos kamar sésamo y ajo 230grs,"4.790,00"
311632,sopa crema knorr choclo con puerro y cúrcuma 70grs,"1.590,00"
276739,coco rallado cooperativa 50grs,"1.250,00"
105725,lentejas cooperativa 400grs,"1.759,00"
231480,atún ecoop en trozos sin adición de sal 160grs,"2.950,00"
296731,pimentón paprika badia 56grs,"8.639,00"
266724,harina de trigo primer precio 0000 1kgs,"919,00"
316790,atún cooperativa lomitos en aceite y agua 160grs,"3.250,00"
321383,barra íntegra semillas y chocolate sin tacc 38grs,"1.700,00"
