# Scraping: 2026-04-29 17:23:02
ean,nombre,precio
7791813888413,Gaseosa Pepsi Vintage Botella 1.5 l,$2.499
ean_desconocido,Promo! 2 Bizcochos Don Satur,$2.500
ean_desconocido,Promo! 2 DISCOS de Tarta La Banderita,$3.290
ean_desconocido,Promo! 2 Docenas de empanadas La Banderita,$2.990
ean_desconocido,Promo 2 Fideos Bonavita,$1.890
ean_desconocido,Promo! 2 Fideos Frescos La Banderita,$4.590
ean_desconocido,PROMO! 2 Fideos Guiseros Sol Pampeano,$1.799
ean_desconocido,Promo! 2 Gaseosa Manaos 2.25,$3.790
ean_desconocido,Promo! 2 Halls,$2.000
ean_desconocido,Promo 2 Jugos Arcor lt,$2.790
ean_desconocido,Promo! 2 Jugos Clight,$720
ean_desconocido,Promo! 2 Jugos Tang,$720
ean_desconocido,Promo! 2 Leches La Serenisima Larga Vida,$4.798
ean_desconocido,Promo! 2 Magdalenas Don Satur,$4.690
ean_desconocido,Promo! 2 Natural Tost semillas/integrales,$3.190
ean_desconocido,PROMO! 2 Pan de Hamburguesa o de Pancho La Banderita,$3.490
ean_desconocido,PROMO! 2 Pan Lactal Chico Voglia,$4.200
ean_desconocido,PROMO! 2 Pan Panchos o Hamburguesa  Voglia,$2.690
ean_desconocido,PROMO! 2 Red Bull 250 ml,$5.990
ean_desconocido,PROMO! 2 Tapas de empanada Voglia,$2.790
ean_desconocido,PROMO! 2 Tapas Pascualina/tarta Voglia,$3.690
ean_desconocido,Promo 2 Vino Callia/Esperado,$7.990
ean_desconocido,PROMO!  2 Vino Chico Malo Malbec/Cabernet,$7.900
ean_desconocido,Promo! 2 Vinos Chico Malo dulce,$8.900
ean_desconocido,Promo! 3 jugos BC Polvo en sobre,$1.000
ean_desconocido,PROMO! 3 Sobres de Jugo Arcor,$1.000
ean_desconocido,PROMO Lleva 2 9 de oro,$1.690
ean_desconocido,"PROMO! Lleva 2  Aguas Saborizadas Sierra de los padres 1,5 lt",$2.790
ean_desconocido,PROMO! Lleva 2  Arvejas Pagos del Sur,$1.390
ean_desconocido,PROMO! Lleva 2 Atun desmenuzado Bahia,$2.990
ean_desconocido,PROMO! Lleva 2  Baggio Fresh 200ml,$2.890
