EAN,PRECIO
7791813888413,"2.599,00"
000000000003015,"21.900,00"
000000000000434,"33.998,00"
7791337010499,"2.100,00"
7791337010482,"2.100,00"
7791337010475,"2.100,00"
7791337010468,"2.100,00"
7791337010376,"2.100,00"
7791337010215,"2.100,00"
7791337010369,"2.100,00"
7791337007666,"2.700,00"
7791337061422,"2.500,00"
7791337061439,"2.500,00"
7791337010727,"800,00"
7791337010314,"800,00"
7791337010307,"800,00"
7791337010260,"800,00"
7791337010208,"800,00"
7791337010451,"1.900,00"
7791337010413,"800,00"
7791337010420,"800,00"
7791337010437,"800,00"
7791337009967,"2.100,00"
7791337010093,"2.100,00"
7791337061361,"3.100,00"
7791337061385,"3.100,00"
7791337060944,"3.100,00"
7790770602094,"799,00"
7791337010291,"1.900,00"
7791337010444,"1.900,00"
7791337010185,"1.400,00"
7791337010192,"1.400,00"
7791337010338,"1.400,00"
7791337010321,"1.400,00"
7793890261509,"3.799,00"
7793890261479,"3.799,00"
7791337009943,"1.300,00"
7791337009950,"1.300,00"
7793890261486,"4.200,00"
7793890261493,"4.200,00"
7793890261462,"4.200,00"
7793890262155,"5.600,00"
7793890262148,"5.600,00"
7791337009981,"2.100,00"
7791337009998,"2.100,00"
7793890261233,"4.499,00"
7793890261219,"5.001,00"
7793890261226,"5.001,00"
7793890261196,"5.001,00"
7793890262162,"6.199,00"
7791337010000,"3.300,00"
7791337010017,"3.300,00"
7798034860570,"2.199,00"
7798034860594,"2.199,00"
7793890262124,"7.199,00"
7793890262131,"6.600,00"
7791337008267,"5.200,00"
7791337008229,"5.200,00"
7791337008243,"5.200,00"
7791337009776,"5.200,00"
7791337010598,"4.000,00"
7791337010604,"4.000,00"
7793890262407,"7.499,00"
7791337010574,"4.000,00"
7791337010581,"4.000,00"
7791337010703,"4.000,00"
7793890259261,"3.699,00"
7793890258783,"4.900,00"
7793890261523,"8.800,00"
7793890260892,"8.000,00"
7793890261516,"8.800,00"
7790742872180,"1.290,00"
7790742872661,"1.290,00"
7790742872654,"1.290,00"
7790742172105,"3.655,00"
7793890260885,"7.499,00"
7790742665027,"2.320,00"
7790742665010,"2.320,00"
7790742661333,"2.320,00"
7790742661067,"2.320,00"
7790742172204,"1.279,00"
7790387013627,"1.999,00"
7793890258769,"3.200,00"
7790580131470,"3.750,00"
7790580131494,"3.750,00"
7790580133641,"3.750,00"
