EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA,IMAGEN
"7791813888413","Gaseosa Pepsi Vintage Botella 1.5 l","Pepsi","1.5 l","","https://cdn.batitienda.com/baticloud/images/product_picture_32f0b35cd60c46e796087953448589f5_638485025951437517_0_m.jpg"
"7791337010499","Yogur Sachet Deslactosado Sabor Frutilla la Serenísima Nutrición Activa 900 Grs","La Serenisima","900 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_ca5f97a21c0e40459ed00ab19be3fa6b_639047714471100263_0_m.jpg"
"7791337010482","Yogurt Deslactosado Vainilla Sachet 900 g Nutrición Activa la Serenísima","La Serenisima","900 g","","https://cdn.batitienda.com/baticloud/images/product_picture_bb797862926d429da5a3de04816c3bec_639051809238441627_0_m.jpg"
"7791337010475","Sachet Yogur Descremado Frutilla la Serenísima Nutrición Activa 900 Grs","La Serenisima","900 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_f780ae5dc69a4a109cb51026b750cb59_639047717873169631_0_m.jpg"
"7791337010468","Sachet Yogur Descremado Sabor Vainilla la Serenísima Nutrición Activa 900 Grs","La Serenisima","900 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_965ae34d36c14c2bb529f624db640b1a_639047712842149531_0_m.jpg"
"7791337010376","Yogur Bebible la Serenísima Sabor Durazno en Sachet 900 Grs","La Serenisima","900 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_5f8b6520582a415d8a67bd9c7dcef390_639040799521694487_0_m.jpg"
"7791337010215","Yogur Bebible la Serenísima Sabor Frutilla en Sachet 900 Grs","La Serenisima","900 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_3bdddd1d17e44b63a68af29f3dca7e39_639040796253786624_0_m.jpg"
"7791337010369","Yogur Bebible la Serenísima Sabor Vainilla en Sachet 900 Grs","La Serenisima","900 Grs","","https://cdn.batitienda.com/baticloud/images/product_picture_3dd07c354c404ff2a5eda6a79782fbe1_639040799642030422_0_m.jpg"
"7791337007666","Yogur Ser Cereales Con Miel 166 g","Ser","166 g","","https://cdn.batitienda.com/baticloud/images/product_picture_6e838a2532ec4884ad2cd992c83f8c97_638241168320146518_0_m.jpg"
"7791337061422","Queso Crema La Serenísima Clásica en Pote 290 g.","La Serenisima","290 g","","https://cdn.batitienda.com/baticloud/images/product_picture_083549bf81664d319c81da3cc80d0e96_638301254861475525_0_m.jpg"
