"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","IMAGEN"
"7793147570606","Cerveza Rubia 710 Cc Schneider","SCHNEIDER","710 cc","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/883177/Cerveza-Schneider-Lager-Rubia-710cc-1-417654.jpg?v=638931153879230000"
"7792798013678","Cerveza IPA 1 Lts Quilmes","QUILMES","1 lts","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/890549/Cerveza-Ipa-1l-Retornable-1-971974.jpg?v=638987206242700000"
"7790895000997","Gaseosa Cola Sabor Original 2.25 Lts Coca Cola","COCA COLA","2.25 lts","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/783070/Gaseosa-Coca-cola-Sabor-Original-2-25-L-1-247191.jpg?v=638206690815300000"
"7622201703141","Jugo en Polvo Sabor Naranja Dulce 7,5 Grs Clight","CLIGHT","Jugo En Polvo Naranja Dulce 7,5 Grs Clight","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/895190/Jugo-En-Polvo-Clight-Naranja-Dulce-7-5-Gr-1-941090.jpg?v=639033970177600000"
"7791813828464","Gaseosa Pepsi Black 2 L","PEPSI","2 l","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/907136/Gaseosa-Pepsi-Black-2-L-1-1007884.jpg?v=639124043953870000"
"7792798010578","Cerveza Rubia 330 Cc Stella Artois","STELLA ARTOIS","330 cc","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/890498/Cerveza-Stella-Artois-Botella-No-Retornable-330mlx1-1-18335.jpg?v=638987206043430000"
"7793147571283","Cerveza Rubia 710 Cc Heineken","HEINEKEN","710 cc","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/579473/Cerveza-Heineken-Premiun-710-Cc-1-781941.jpg?v=637215672769700000"
"7791843008300","Vino Tinto Borgoña 1125 Cc Viñas de Balbo","VIÑAS DE BALBO","1125 cc","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/624748/Vino-Tinto-Vi-as-De-Balbo-Borgo-a-1-125-Cc-1-40525.jpg?v=637510296796370000"
"7790895067570","Gaseosa Cola Zero 2,25 Lts Coca Cola","COCA COLA","2,25 lts","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/799920/Gaseosa-Coca-Cola-Sin-Azucar-2-25lt-1-19721.jpg?v=638349573899270000"
"7790290101602","Fernet Branca 750 Ml","BRANCA","750 ml","bebidas","https://jumboargentina.vteximg.com.br/arquivos/ids/617349/Fernet-Branca-Bot-750-Cc-1-856717.jpg?v=637437282860830000"
