ID/EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA
"7791813888413","Gaseosa Pepsi Vintage Botella 1.5 l","Pepsi","1.5 l",""
"7791337007956","Bebida a Base de Almendras Silk Sabor Chocolate 1 lt.","Silk","1 lt",""
"7791337007932","Leche de Almendras Silk de Coco Sin Azúcar Tetra 1 lt.","Silk","1 lt",""
"7791337007925","Leche de Almendras Silk de Coco Tetra 1 lt.","Silk","1 lt",""
"7791337007949","Leche de Almendras Silk de Vainilla Tetra 1 lt.","Silk","1 lt",""
"7791337007901","Leche de Almendras Silk Endulzada Tetra 1 lt.","Silk","1 lt",""
"7791337007918","Leche de Almendras Silk Sin Azúcar Tetra 1 lt.","Silk","1 lt",""
"7791337008052","Yogur Bebible Deslactosado La Serenísima Sabor Frutilla en Sachet 900 g.","La Serenisima","900 g",""
"7791337008069","Yogur Bebible Deslactosado La Serenísima Sabor Vainilla en Sachet 900 g.","La Serenisima","900 g",""
"7791337010475","Sachet Yogur Descremado Frutilla la Serenísima Nutrición Activa 900 Grs","La Serenisima","900 Grs",""
"7791337010468","Sachet Yogur Descremado Sabor Vainilla la Serenísima Nutrición Activa 900 Grs","La Serenisima","900 Grs",""
"7791337008380","Yogur Bebible Descremado La Serenísima Sabor Frutilla en Sachet 900 cc.","La Serenisima","900 cc",""
"7791337008366","Yogur Bebible Descremado La Serenísima Sabor Vainilla en Sachet 900 cc.","La Serenisima","900 cc",""
"7791337008342","Yogur Bebible Entero La Serenísima Sabor Durazno en Sachet 900 g.","La Serenisima","900 g",""
"7791337008335","Yogur Bebible Entero La Serenísima Sabor Frutilla en Sachet 900 g.","La Serenisima","900 g",""
"7791337008311","Yogur Bebible Entero La Serenísima Sabor Vainilla en Sachet 900 g.","La Serenisima","900 g",""
"7791337010376","Yogur Bebible la Serenísima Sabor Durazno en Sachet 900 Grs","La Serenisima","900 Grs",""
"7791337010215","Yogur Bebible la Serenísima Sabor Frutilla en Sachet 900 Grs","La Serenisima","900 Grs",""
"7791337010369","Yogur Bebible la Serenísima Sabor Vainilla en Sachet 900 Grs","La Serenisima","900 Grs",""
"7791337061422","Queso Crema La Serenísima Clásica en Pote 290 g.","La Serenisima","290 g",""
"7791337061439","Queso Crema La Serenísima Light en Pote 290 g.","La Serenisima","290 g",""
"7792798013975","Cerveza Blanca Stella Artois en Lata 710 cc.","Stella Artois","710 cc",""
"7792798013982","Cerveza Blanca Stella Artois en Lata X4 710 cc.","Stella Artois","710 cc",""
"7791337061361","Queso Crema Casancrem Clásico 290 g.","Casancrem","290 g",""
"7791337061385","Queso Crema Casancrem Light 290 g.","Casancrem","290 g",""
"7791337060944","Queso Crema Light Casancrem Sin Sal en Pote 290 g.","Casancrem","290 g",""
"7791337007376","Ls Yogur Batido La Serenisima Entero Durazno 120 xg","LS","",""
"7791337007369","Ls Yogur Batido La Serenisima Entero Frutilla 120 xg","LS","",""
"7791337007437","Ls Yogur Firme La Serenisima Entero Frutilla 120 xg","LS","",""
"7791337007420","Ls Yogur Firme La Serenisima Entero Vainilla 120 xg","LS","",""
"7791337007406","Lsclasico Yogur Descremado Batido La Serenisima Clasico Frutilla 120 g","LSCLASICO","120 g",""
"7791337007413","Lsclasico Yogur Descremado Batido La Serenisima Clasico Vainilla 120 g","LSCLASICO","120 g",""
"7791337007772","Lsclasico Yogur Descremado Firme La Serenisima Clasico Frutilla 190 g","LSCLASICO","190 g",""
"7791337007765","Lsclasico Yogur Descremado Firme La Serenisima Clasico Vainilla 190 g","LSCLASICO","190 g",""
"7791337007451","Lsclasico Yogur Firme La Serenisima Clasico Frutilla 190 g","LSCLASICO","190 g",""
"7791337007444","Lsclasico Yogur Firme La Serenisima Clasico Vainilla 190 g","LSCLASICO","190 g",""
"7791337007352","Lsclasico Yogur La Serenisima Entero Batido Vainilla 120 g","LSCLASICO","120 g",""
"7791337008267","Yogur Bebible Entero Yogurisimo de Banana en Sachet 900 cc.","Yogurisimo","900 cc",""
"7791337008229","Yogur Bebible Entero Yogurisimo de Frutilla en Sachet 900 cc.","Yogurisimo","900 cc",""
"7791337008243","Yogur Bebible Entero Yogurisimo de Vainilla en Sachet 900 cc.","Yogurisimo","900 cc",""
"7791337007383","Ls Yogur Batido La Serenisima Confites Chocolate 164 g","LS","164 g",""
"7791337008236","Yogur Batido Descremado Gran Compra de Frutilla 120 g.","Gran Compra","120 g",""
