ID/EAN,NOMBRE,MARCA,PRESENTACION,ID_CATEGORIA
"7790070035967","Milanesas de Soja Casera Granja Del Sol 330 Gr","GRANJA DEL SOL","330.0 gr","010101"
"7790070036438","Milanesa de Soja Grande Lucchetti 4 Un","LUCCHETTI","4.0 un","010101"
"7790070035998","Milanesas de Soja con Calabaza Crocantes Granja Del Sol 330 Gr","GRANJA DEL SOL","330.0 gr","010101"
"7790070035981","Milanesas de Soja con Espinaca Granja Del Sol 330 Gr","GRANJA DEL SOL","330.0 gr","010101"
"7790070036056","Milanesas de Soja Rellenas Napolitana Granja Del Sol 380 Gr","GRANJA DEL SOL","380.0 gr","010101"
"8480017254542","Milanesas de Soja Tipo Caseras Dia 2 Un","DÍA","2.0 un","010101"
"7790070035974","Milanesa de Soja Tipo Casera Granja Del Sol 8 Un","GRANJA DEL SOL","8.0 un","010101"
"7790070036223","Milanesas de Soja Lucchetti 290 Gr","LUCCHETTI","290.0 gr","010101"
"7790360967794","Milanesa de Soja Jamon y Queso Swift 4 Un","SWIFT","4.0 un","010101"
"7790360967824","Milanesa de Soja Prefrita Swift 4 Un","SWIFT","4.0 un","010101"
"7792052179966","Milanesa de Soja Clasica Cuisine & Co 4 Un","CUISINE & CO","4.0 un","010101"
"8480017254528","Milanesa Soja Casera 290 Gr","DÍA","290.0 gr","010101"
"7790070036049","Milanesas de Soja Rellenas de Calabaza y Queso Granja Del Sol 380 Gr","GRANJA DEL SOL","380.0 gr","010101"
"7790070036032","Milanesas de Soja Rellenas de Espinaca y Queso Granja Del Sol 380 Gr","GRANJA DEL SOL","380.0 gr","010101"
"7790070036179","Milanesa Soja Grande Sabor Fugazzeta Lucchetti 4 Un","LUCCHETTI","4.0 un","010101"
"7790070036186","Milanesa Soja Grande Napolitana Lucchetti 4 Un","LUCCHETTI","4.0 un","010101"
"7790360967800","Milanesa de Soja Espinaca y Queso Swift 4 Un","SWIFT","4.0 un","010101"
"7790174000601","Hamburguesas de Soja Vegetalex 4 Un","VEGETALEX","4.0 un","010101"
"7793281493472","Hamburguesas Clasicas Union Ganadera 4 Un 83 Gr","UNIÓN GANADERA","83.0 gr","010301"
"7790670052371","Medallones de Carne Congelados Express Paty 4 Un","PATY","4.0 un","010301"
"7790360966841","Medallones de Carne Clasicos Supercongelados Swift 4 Un 276 Gr","SWIFT","276.0 gr","010301"
"7790360026590","Hamburguesas de Carne Clasicas Swift 12 Un 960 Gr","SWIFT","960.0 gr","010301"
"7790360026606","Hamburguesas de Carne Clasicas Swift 2 Un","SWIFT","2.0 un","010301"
"7790670050650","Hamburguesas de Carne Clasicas sin TACC Paty 4 Un 320 Gr","PATY","320.0 gr","010301"
"7790360026576","Hamburguesas de Carne Vacuna Clasicas Swift 4 Un","SWIFT","4.0 un","010301"
"7790670050667","Hamburguesas de Carne Clasicas sin TACC Paty 12 Un 960 Gr","PATY","960.0 gr","010301"
"7793281493489","Hamburguesas Clasicas Union Ganadera 12 Un 83 Gr","UNIÓN GANADERA","83.0 gr","010301"
"7798342151254","Medallon a Base de Plantas Parrillera Not Burger 220 Gr","NOT BURGER","220.0 gr","010301"
"7790670051831","Hamburguesas de Carne Congelada Paty 4 Un","PATY","4.0 un","010301"
"7790670050674","Hamburguesas de Carne Clasicas Paty 2 Un 160 Gr","PATY","110.0 gr","010301"
"7790360966797","Medallones de Carne Supercongelados Swift 2 Un","SWIFT","2.0 un","010301"
"7790670050612","Hamburguesas de Carne Grandes Paty 2 Un","PATY","2.0 un","010301"
"7790670050728","Hamburguesas de Carne Finitas Paty 2 Un 110 Gr","PATY","110.0 gr","010301"
"7790360967701","Hamburguesa Tipo Casera Swift 240 Gr","SWIFT","240.0 gr","010301"
"7793281493410","Hamburguesas de Carne Parrilleras Union Ganadera 2 Un 120 Gr","UNIÓN GANADERA ","120.0 gr","010301"
"7790360026583","Hamburguesas de Carne Clasicas Swift 20 Un","SWIFT","20.0 un","010301"
"7790360967411","Hamburguesas Clasicas XL Swift 250 Gr","SWIFT","250.0 gr","010301"
"7790670050780","Hamburguesas de Carne Vacuna sin TACC Paty 20 Un 1.6 Kg","PATY","1.6 kg","010301"
"7790670052289","Hamburguesas de Carne Light Caja Paty 4 Un","PATY","4.0 un","010301"
"7793281493496","Hamburguesas de Carne Union Ganadera 20 Un","UNIÓN GANADERA ","20.0 un","010301"
"7790070036230","Medallon de Espinaca y Quinoa Veggie Granja Del Sol 440 Gr","GRANJA DEL SOL","440.0 gr","010301"
"7790360026682","Medallones de Carne Vacuna Swift 4 Un 332 Gr","SWIFT","320.0 gr","010301"
"7790360966193","Hamburguesas de Carne Burger Swift 2 Un 112 Gr","SWIFT","112.0 gr","010301"
"7790670050605","Hamburguesas de Carne Grandes Paty 4 Un 480 Gr","PATY","480.0 gr","010301"
"7790670050957","Medallon de Carne Tipo Milanesa Paty 2 Un 200 Gr","PATY","180.0 gr","010301"
"7790670052265","Hamburguesas de Carne Grandes de Cancha Paty 10 Un","PATY","10.0 un","010301"
"7790670052524","Medallon de Carne Good Mark 4 Un 80 Gr","GOOD MARK","80.0 gr","010301"
"7793281493519","Hamburguesas de Carne Finitas de Carne Union Ganadera 2 Un 55 Gr","UNIÓN GANADERA ","55.0 gr","010301"
"7793281493526","Hamburguesas de Carne Union Ganadera 4 Un 69 Gr","UNIÓN GANADERA ","69.0 gr","010301"
"7793281493564","Hamburguesa Union Ganadera 83 Gr","UNIÓN GANADERA ","83.0 gr","010301"
"7793281493571","Hamburguesas de Carne Supergigante Union Ganadera 2 Un 140 Gr","UNIÓN GANADERA ","140.0 gr","010301"
"7798342150622","Hamburguesas a Base de Plantas Fwp Not Burguer 2 Un 160 Gr","NOT BURGER","160.0 gr","010301"
