"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA"
"7791813888468","Gaseosa Pepsi  Botella 2 L","PEPSI","2 l","bebidas"
"7793147571283","Cerveza Heineken Rubia 710cc","HEINEKEN","710cc","bebidas"
"7791813828464","Gaseosa Pepsi Black 2 L","PEPSI","2 l","bebidas"
"7790895000997","Gaseosa Coca-cola Sabor Original 2.25 L","COCA COLA","2.25 l","bebidas"
"7792798010578","Cerveza Stella Artois Botella No Retornable 330mlx1","STELLA ARTOIS","Cerveza Stella Artois Botella No Retornable 330mlx1","bebidas"
"7790290101602","Fernet Branca 750 Ml","BRANCA","750 ml","bebidas"
"7793147009199","Cerveza Heineken 473 Ml","HEINEKEN","473 ml","bebidas"
"7501064198847","Cerveza Rubia 330ml Corona","CORONA","330ml","bebidas"
"7792798007387","Cerveza Quilmes Clasica 1lt Ret","QUILMES","1lt","bebidas"
"7792798013999","Cerveza Quilmes Bajo Cero 1lt Ret.","QUILMES","1lt","bebidas"
"7790895001000","Gaseosa Sprite Lima-limón 2,25 Lt","SPRITE","2,25 lt","bebidas"
"7793147001056","Budwei Rub 1lt Ret","BUDWEISER","1lt","bebidas"
"7795742084540","Cerveza Brahma Chopp Lata 354mlx1","BRAHMA","Cerveza Brahma Chopp Lata 354mlx1","bebidas"
"7793147000899","Cerveza Heineken Rubia 1lt Ret","HEINEKEN","1lt","bebidas"
"7793147570606","Cerveza Rubia 710 Ml Schneider","SCHNEIDER","710 ml","bebidas"
"7792798014835","Cerveza Quilmes Clasica 710cc","QUILMES","710cc","bebidas"
"7791843008300","Vino Tinto Borgoña 1.125 Cc Viñas De Balbo","VIÑAS DE BALBO","1.125 cc","bebidas"
"7792798013678","Cerveza Ipa 1l Retornable","QUILMES","1l","bebidas"
"7622201703141","Jugo En Polvo Naranja Dulce 7,5 Grs Clight","CLIGHT","Jugo En Polvo Naranja Dulce 7,5 Grs Clight","bebidas"
"7790895067570","Coca-cola Zero 2,25 Lt","COCA COLA","2,25 lt","bebidas"
"7792798014873","Cerveza Sin Alcohol 330 Cc Corona","CORONA","330 cc","bebidas"
"7790895650833","Gaseosa Sabor Original X 600 Ml Coca-cola","COCA COLA","600 ml","bebidas"
"7792798007493","Cerveza Brahma Chopp Rubia 1lt Ret","BRAHMA","1lt","bebidas"
"7792798015061","Cerveza Rubia X 710 Cc Brahma","BRAHMA","710 cc","bebidas"
"7622201735340","Jugo En Polvo Tang Naranja Dulce 15gr","TANG","15gr","bebidas"
