"ID/EAN","NOMBRE","MARCA","PRESENTACION","ID_CATEGORIA","PRECIO"
"7791813828464","Gaseosa Pepsi Black 2 L","PEPSI","Gaseosa Pepsi Black 2 L","205","4400.0"
"7793147570606","Cerveza Rubia 710 Ml Schneider","SCHNEIDER","Cerveza Rubia 710 Ml Schneider","38","3499.0"
"7792798007387","Cerveza Quilmes Clasica 1lt Ret","QUILMES","Cerveza Quilmes Clasica 1lt Ret","38","4200.0"
"7792798010561","Cerveza Botella Retornable 975 Ml Stella Artois","STELLA ARTOIS","Cerveza Botella Retornable 975 Ml Stella Artois","38","6100.0"
"7793147571283","Cerveza Heineken Rubia 710cc","HEINEKEN","Cerveza Heineken Rubia 710cc","38","5501.0"
"7791813888468","Gaseosa Pepsi  Botella 2 L","PEPSI","Gaseosa Pepsi  Botella 2 L","205","4391.0"
"7792798013678","Cerveza Ipa 1l Retornable","QUILMES","Cerveza Ipa 1l Retornable","38","4300.0"
"7793147001056","Budwei Rub 1lt Ret","BUDWEISER","Budwei Rub 1lt Ret","38","4600.0"
"7622201703141","Jugo En Polvo Naranja Dulce 7,5 Grs Clight","CLIGHT","Jugo En Polvo Naranja Dulce 7,5 Grs Clight","211","520.0"
"7790895000997","Gaseosa Coca-cola Sabor Original 2.25 L","COCA COLA","Gaseosa Coca-cola Sabor Original 2.25 L","205","5450.0"
"7791843008300","Vino Tinto Borgoña 1.125 Cc Viñas De Balbo","VIÑAS DE BALBO","Vino Tinto Borgoña 1.125 Cc Viñas De Balbo","216","3782.0"
"7501064198847","Cerveza Rubia 330ml Corona","CORONA","Cerveza Rubia 330ml Corona","38","4050.0"
"7792798010578","Cerveza Stella Artois Botella No Retornable 330mlx1","STELLA ARTOIS","Cerveza Stella Artois Botella No Retornable 330mlx1","38","3700.0"
"7793147000899","Cerveza Heineken Rubia 1lt Ret","HEINEKEN","Cerveza Heineken Rubia 1lt Ret","38","6300.0"
"7793147009199","Cerveza Heineken 473 Ml","HEINEKEN","Cerveza Heineken 473 Ml","38","3700.0"
"7795742084540","Cerveza Brahma Chopp Lata 354mlx1","BRAHMA","Cerveza Brahma Chopp Lata 354mlx1","38","1289.0"
"7790895001000","Gaseosa Sprite Lima-limón 2,25 Lt","SPRITE","Gaseosa Sprite Lima-limón 2,25 Lt","206","5450.0"
"7792798014835","Cerveza Quilmes Clasica 710cc","QUILMES","Cerveza Quilmes Clasica 710cc","38","3400.0"
"7790895067570","Coca-cola Zero 2,25 Lt","COCA COLA","Coca-cola Zero 2,25 Lt","205","5450.0"
"7790290101602","Fernet Branca 750 Ml","BRANCA","Fernet Branca 750 Ml","36","17200.0"
"7792798013470","Cerveza Stella Artois Sin Alcohol 330 Ml","STELLA ARTOIS","Cerveza Stella Artois Sin Alcohol 330 Ml","38","3000.0"
"7799155000197","Agua Sin Gas Villavicencio 2 L","VILLAVICENCIO","Agua Sin Gas Villavicencio 2 L","202","3050.0"
"7807910037712","Cerveza 4,5º Lata X 500 Ml Landvik","LANDVIK","Cerveza 4,5º Lata X 500 Ml Landvik","38","2190.0"
"7799155000876","Saborizada Levite Pomelo 2.25lt","Levite","Saborizada Levite Pomelo 2.25lt","204","3400.0"
"7791200200835","Vodka Infusions Cosmic 700ml Skyy","SKYY","Vodka Infusions Cosmic 700ml Skyy","540","12600.0"
"7792798014873","Cerveza Sin Alcohol 330 Cc Corona","CORONA","Cerveza Sin Alcohol 330 Cc Corona","38","3400.0"
"7792052066013","Soda 1.75 Lts Cuisine & Co","Cuisine & CO","Soda 1.75 Lts Cuisine & Co","203","1870.0"
"7799155000135","Agua Villa Del Sur Sin Gas 6.2lt","VILLA DEL SUR","Agua Villa Del Sur Sin Gas 6.2lt","202","5100.0"
"7790895650833","Gaseosa Sabor Original X 600 Ml Coca-cola","COCA COLA","Gaseosa Sabor Original X 600 Ml Coca-cola","205","2300.0"
"7792798015061","Cerveza Rubia X 710 Cc Brahma","BRAHMA","Cerveza Rubia X 710 Cc Brahma","38","3600.0"
"7622201703080","Jugo En Polvo Manzana Deliciosa 7 Grs Clight","CLIGHT","Jugo En Polvo Manzana Deliciosa 7 Grs Clight","211","520.0"
"7793147009137","Cerveza Heineken 330 Ml","HEINEKEN","Cerveza Heineken 330 Ml","38","3900.0"
"7792798014019","Cerveza Michelob Ultra Sin Gluten 473 Ml","MICHELOB","Cerveza Michelob Ultra Sin Gluten 473 Ml","38","2725.0"
"7792798013531","Cerveza Rubia 710ml X 4u Budweiser","BUDWEISER","Cerveza Rubia 710ml X 4u Budweiser","38","15200.0"
"7790895000232","Gaseosa Coca-cola Sabor Original 354 Ml","COCA COLA","Gaseosa Coca-cola Sabor Original 354 Ml","205","2300.0"
"7792798003716","Cerveza Rubia 710ml Corona","CORONA","Cerveza Rubia 710ml Corona","38","6550.0"
"7622201735340","Jugo En Polvo Tang Naranja Dulce 15gr","TANG","Jugo En Polvo Tang Naranja Dulce 15gr","211","495.0"
"7792798009114","Cerveza 473 Ml X 6 U Quilmes","QUILMES","Cerveza 473 Ml x 6 U Quilmes 0% Alcohol","38","10600.0"
"7792798007493","Cerveza Brahma Chopp Rubia 1lt Ret","BRAHMA","Cerveza Brahma Chopp Rubia 1lt Ret","38","4400.0"
"7793147573720","Cerveza Imperial Golden 1 L","IMPERIAL","Cerveza Imperial Golden 1 L","38","4800.0"
"7793147574093","Cerveza Cero X 473 Cc Heineken","HEINEKEN","Cerveza Cero X 473 Cc Heineken","38","2900.0"
"7793147571689","Cerveza Imperial Golden 473cc","IMPERIAL","Cerveza Imperial Golden 473cc","38","2900.0"
"7793147573737","Cerveza Imperial Rubia 1 L","IMPERIAL","Cerveza Imperial Rubia 1 L","38","4800.0"
"7622201703110","Jugo En Polvo Naranja 8 Grs Clight","CLIGHT","Jugo En Polvo Naranja 8 Grs Clight","211","520.0"
"7798062547559","Agua Villa Del Sur Pet Sin Gas 2250 Ml","VILLA DEL SUR","Agua Villa Del Sur Pet Sin Gas 2250 Ml","202","2450.0"
"7792052181068","Soda 2.25 Lts Cuisine & Co","Cuisine & CO","Soda 2.25 Lts Cuisine & Co","203","1400.0"
"7622201705992","Jugo En Polvo Tang Manzana 15gr","TANG","Jugo En Polvo Tang Manzana 15gr","211","495.0"
"7790639002416","Agua Cellier Sin Gas 2lt","CELLIER","Agua Cellier Sin Gas 2lt","202","1025.0"
"7622201703172","Jugo En Polvo Pomelo Rosado 8 Grs Clight","CLIGHT","Jugo En Polvo Pomelo Rosado 8 Grs Clight","211","520.0"
"7622201735685","Jugo En Polvo Tang Limon Dulce 15gr","TANG","Jugo En Polvo Tang Limon Dulce 15gr","211","495.0"
"7799155000333","Saborizada Levite Manzana 2.25lt","Levite","Saborizada Levite Manzana 2.25lt","204","3400.0"
"7622201702656","Jugo En Polvo Limonada 8 Grs Clight","CLIGHT","Jugo En Polvo Limonada 8 Grs Clight","211","520.0"
"7792798012947","Cerveza Quilmes Clásica Lata 473mlx6","QUILMES","Cerveza Quilmes Clásica Lata 473mlx6","38","14250.0"
"7791813444459","Gaseosa 7 Up Botella 2,25ltx1","7 UP","Gaseosa 7 Up Botella 2,25ltx1","206","5000.0"
